Timestamp,AccX_G,AccY_G,AccZ_G,GyroX_DPS,GyroY_DPS,GyroZ_DPS,Lat,Lon,Altitude,Sats,PlantStat
14468,0.0012,-0.0461,1.0466,4.10,-2.77,-0.74,0.0,0.0,0.0,0,0
14568,0.0503,0.0068,1.0413,3.14,3.42,1.21,0.0,0.0,0.0,0,0
14668,0.0403,-0.0664,1.0137,3.53,-29.70,5.72,0.0,0.0,0.0,0,0
14768,0.1160,0.0293,1.0571,-3.03,16.63,-6.11,0.0,0.0,0.0,0,0
14868,0.0288,-0.0278,0.9929,-13.95,42.47,2.42,0.0,0.0,0.0,0,0
14968,-0.0339,-0.0093,1.0540,-3.46,6.11,3.78,0.0,0.0,0.0,0,0
15068,-0.0161,-0.0146,1.0613,-0.64,-12.12,4.77,0.0,0.0,0.0,0,0
15168,0.0234,-0.0208,1.0789,1.40,-7.25,4.63,0.0,0.0,0.0,0,0
15268,0.0251,-0.0095,1.0654,-0.76,2.15,0.92,0.0,0.0,0.0,0,0
15368,0.0249,-0.0088,1.0598,0.88,-5.03,-2.57,0.0,0.0,0.0,0,0
15468,-0.0317,-0.0129,1.0056,28.33,-23.08,-4.60,0.0,0.0,0.0,0,0
15568,0.0112,0.0017,1.0698,10.83,-14.06,9.64,0.0,0.0,0.0,0,0
15668,0.1223,0.0657,1.0708,22.56,-33.68,5.09,0.0,0.0,0.0,0,0
15768,0.1580,0.0759,0.9551,8.06,-24.42,6.27,0.0,0.0,0.0,0,0
15868,0.2292,0.1423,0.9402,1.34,11.84,5.62,0.0,0.0,0.0,0,0
15968,0.2126,0.1172,1.1064,-16.47,28.02,-13.93,0.0,0.0,0.0,0,0
16068,0.2024,0.1096,0.9302,22.54,-0.95,-5.84,0.0,0.0,0.0,0,0
16168,0.1936,0.1543,1.0051,-0.21,-5.32,1.92,0.0,0.0,0.0,0,0
16268,0.2402,0.1152,1.0713,-8.87,-10.45,-0.03,0.0,0.0,0.0,0,0
16368,0.2341,0.1387,0.9670,-18.50,7.63,2.40,0.0,0.0,0.0,0,0
16468,0.2275,0.1091,1.0769,-9.67,7.95,-8.77,0.0,0.0,0.0,0,0
16568,0.2292,0.1638,0.9370,37.92,-17.31,-13.67,0.0,0.0,0.0,0,0
16668,0.2793,0.2048,0.9734,2.97,1.01,-2.11,0.0,0.0,0.0,0,0
16768,0.2615,0.2034,1.0120,6.15,10.65,0.59,0.0,0.0,0.0,0,0
16868,0.2598,0.2146,1.0083,0.37,8.63,1.55,0.0,0.0,0.0,0,0
16968,0.2490,0.2048,1.0273,-2.59,-3.20,0.96,0.0,0.0,0.0,0,0
17068,0.2415,0.2290,0.9805,-7.65,9.31,4.39,0.0,0.0,0.0,0,0
17168,0.2598,0.1641,0.9475,-19.69,1.57,6.73,0.0,0.0,0.0,0,0
17268,0.2371,0.1597,0.9800,-4.21,33.46,2.40,0.0,0.0,0.0,0,0
17368,0.1790,0.1736,1.0652,4.89,3.02,-2.07,0.0,0.0,0.0,0,0
17468,0.2212,0.1714,1.0391,2.26,-5.93,-0.13,0.0,0.0,0.0,0,0
17588,0.2642,0.1338,1.0693,-17.28,-20.01,-3.93,0.0,0.0,0.0,0,0
17688,0.2473,0.0938,1.0937,-35.38,35.89,10.31,0.0,0.0,0.0,0,0
17788,0.0642,-0.0500,0.9714,-40.49,4.02,9.72,0.0,0.0,0.0,0,0
17888,0.0090,-0.0356,0.7019,-19.97,77.65,14.58,0.0,0.0,0.0,0,0
17988,0.1311,0.0349,0.2112,5.21,-2.82,19.66,0.0,0.0,0.0,0,0
18088,0.0852,0.0261,0.0549,65.89,-102.27,6.31,0.0,0.0,0.0,0,0
18188,0.3208,0.2751,1.0552,91.27,59.24,-18.83,0.0,0.0,0.0,0,0
18288,0.1226,0.0559,1.4150,20.26,-66.38,27.56,0.0,0.0,0.0,0,0
18388,0.2495,0.1846,1.2883,13.97,43.21,24.20,0.0,0.0,0.0,0,0
18488,0.1909,0.2500,1.8647,-37.96,4.21,9.27,0.0,0.0,0.0,0,1
18634,0.0291,0.0259,1.5320,-61.98,250.13,-19.53,0.0,0.0,0.0,0,1
18734,-0.0857,0.1233,1.0540,40.40,-190.91,-13.73,0.0,0.0,0.0,0,1
18834,0.1755,0.0710,0.7112,3.53,-0.34,-18.16,0.0,0.0,0.0,0,1
18934,0.0464,0.0850,1.0691,-5.40,29.26,-7.55,0.0,0.0,0.0,0,1
19034,0.0457,0.1553,1.0845,-4.98,11.96,-4.53,0.0,0.0,0.0,0,1
19134,0.0391,0.1277,1.0840,-6.66,-17.94,-11.88,0.0,0.0,0.0,0,1
19234,0.0942,0.1082,0.9988,-0.39,-6.18,-4.83,0.0,0.0,0.0,0,1
19334,0.0623,0.1072,0.9668,-1.72,27.18,4.79,0.0,0.0,0.0,0,1
19434,0.1204,0.0835,1.1277,-6.33,19.93,6.15,0.0,0.0,0.0,0,1
19534,0.0400,0.1145,1.0576,-5.87,1.72,4.76,0.0,0.0,0.0,0,1
19678,0.0537,0.1018,1.0415,-3.35,-15.90,0.55,0.0,0.0,0.0,0,1
19778,0.1436,0.0977,1.0374,-3.82,15.50,0.63,0.0,0.0,0.0,0,1
19878,0.0906,0.0889,1.0256,-6.82,-2.30,5.49,0.0,0.0,0.0,0,1
19978,0.0215,0.0889,1.0730,-8.32,1.67,2.76,0.0,0.0,0.0,0,1
20078,0.0583,0.0857,1.0586,-1.47,-27.44,0.06,0.0,0.0,0.0,0,1
20178,0.0811,0.0645,1.0264,-6.46,8.86,0.02,0.0,0.0,0.0,0,1
20278,0.1245,0.0520,1.1003,-5.15,12.89,-1.95,0.0,0.0,0.0,0,1
20378,0.0786,0.0591,1.0356,-7.27,13.19,-2.14,0.0,0.0,0.0,0,1
20478,0.0867,0.0720,1.0562,-1.69,-1.35,-0.11,0.0,0.0,0.0,0,1
20628,0.1177,0.0706,1.0320,-5.68,18.90,-0.59,0.0,0.0,0.0,0,1
20728,0.0457,0.0454,1.0713,-4.35,8.24,0.50,0.0,0.0,0.0,0,1
20828,0.0491,0.0452,1.0579,-5.19,4.68,1.06,0.0,0.0,0.0,0,1
20928,0.0605,0.0427,1.0103,-4.11,1.21,-2.47,0.0,0.0,0.0,0,1
21028,0.0344,0.0330,1.0461,-1.96,7.27,0.13,0.0,0.0,0.0,0,1
21128,0.0161,0.0461,1.0215,0.09,5.33,-2.96,0.0,0.0,0.0,0,1
21228,0.0813,0.0444,1.1309,-6.08,6.39,1.19,0.0,0.0,0.0,0,1
21328,0.0410,0.0393,1.0784,-4.81,-24.51,1.11,0.0,0.0,0.0,0,1
21428,0.0850,0.0413,1.0837,-1.07,9.91,3.37,0.0,0.0,0.0,0,1
21528,0.0486,0.0447,1.0049,-2.95,-7.92,-0.15,0.0,0.0,0.0,0,1
21629,0.0806,0.0430,1.0693,-0.97,18.09,-0.27,0.0,0.0,0.0,0,1
21729,0.0535,0.0369,1.0559,-4.45,2.66,-2.12,0.0,0.0,0.0,0,1
21829,0.0403,0.0300,1.0562,-1.94,3.05,-1.54,0.0,0.0,0.0,0,1
